fecha,referencia,PC1
22/05/2018,LN2_SB,-0.32637776480247394
22/05/2018,LN2_CB,-0.3419610025091772
05/06/2018,LN2_SB,0.15322915042742477
05/06/2018,LN2_CB,-0.2446772687599575
22/06/2018,LN1,-0.37092447033698744
19/06/2018,LN2_SB,-0.3366224258446952
19/06/2018,LN2_CB,-0.3289186569870882
03/07/2018,LN2_CB,-0.30894291949315283
03/07/2018,LN2_SB,-0.20869931665653674
17/07/2018,LN1,-0.3625043861294626
17/07/2018,LN2_CB,-0.2920081433903781
17/07/2018,LN2_SB,-0.3504756944044271
31/07/2018,LN2_SB,-0.34629944076056646
31/07/2018,LN2_CB,-0.30856448874225284
28/08/2018,LN1,-0.36420732450851256
28/08/2018,LN2_CM,-0.18433107937536927
28/08/2018,LN2_SB,-0.0785326537308997
28/08/2018,LN2_CB,-0.19368372507618342
11/09/2018,LN1,-0.37228952411701954
11/09/2018,LN2_CM,-0.2111726319213474
11/09/2018,LN2_SB,-0.17036968774395167
11/09/2018,LN2_CB,-0.17505952597831942
25/09/2018,LN2_SB,-0.17361337989452302
25/09/2018,LN2_CB,-0.20813167053018672
16/10/2018,LN1,-0.36954590117299463
16/10/2018,LN2_SB,-0.21029413196390098
16/10/2018,LN2_CB,-0.21421359331250805
30/10/2018,LN1,-0.3734788779055624
30/10/2018,LN2_SB,-0.2502996684876146
30/10/2018,LN2_CB,-0.2809390439265533
13/11/2018,LN2_SB,-0.18776398690139065
13/11/2018,LN2_CB,-0.19192672516129058
27/11/2018,LN2_SB,-0.1640580034342982
27/11/2018,LN2_CB,-0.33521682591278096
18/12/2018,LN1,-0.37045143189836244
18/12/2018,LN2_CM,-0.11437545199471337
18/12/2018,LN2_SB,-0.014740041436329392
18/12/2018,LN2_CB,-0.23162140785390775
22/01/2019,LN1,-0.37610086239394097
22/01/2019,LN2_CM,-0.3138084577190099
22/01/2019,LN2_SB,-0.2676399061092107
22/01/2019,LN2_CB,-0.3006579891252351
05/02/2019,LN2_SB,-0.2064692783030189
05/02/2019,LN2_CB,-0.29271094335633524
19/02/2019,LN1,-0.2705186828928428
19/02/2019,LN2_CM,-0.26908605219300713
19/02/2019,LN2_SB,-0.21021303966013669
19/02/2019,LN2_CB,-0.2116456703599724
12/03/2019,LN2_SB,-0.2757491364856391
12/03/2019,LN2_CB,-0.2277424926571828
26/03/2019,LN1,-0.3062803888528921
26/03/2019,LN2_CM,-0.2661667292574929
26/03/2019,LN2_SB,-0.30345567360510295
26/03/2019,LN2_CB,-0.14725838117113066
09/04/2019,LN2_SB,-0.15362412701662698
09/04/2019,LN2_CB,-0.2376627844843469
23/04/2019,LN1,-0.3588417170761091
23/04/2019,LN2_CM,-0.18958856373608704
23/04/2019,LN2_SB,0.013655780265130814
23/04/2019,LN2_CB,-0.1366488047619701
07/05/2019,LN2_SB,0.06648741616756201
07/05/2019,LN2_CB,-0.14670425042874136
